2021-07-04 15:07:313 INFO  HomePage :29 - Mouse Hover and Click on search cars link: [[ChromeDriver: chrome on WINDOWS (af3df697ca5bba7a46c26689e311f05c)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 15:07:350 INFO  NewAndUsedCarPage :38 - Verify that user navigate to new and Used car page :[[ChromeDriver: chrome on WINDOWS (af3df697ca5bba7a46c26689e311f05c)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 15:07:793 INFO  NewAndUsedCarPage :45 - Select any make form drop down : [[ChromeDriver: chrome on WINDOWS (af3df697ca5bba7a46c26689e311f05c)] -> xpath: //select[@id='makes']]
2021-07-04 15:07:237 INFO  NewAndUsedCarPage :51 - Select any model from dropdown : [[ChromeDriver: chrome on WINDOWS (af3df697ca5bba7a46c26689e311f05c)] -> xpath: //select[@id='models']]
2021-07-04 15:07:612 INFO  NewAndUsedCarPage :57 - Select any Location from drop down: [[ChromeDriver: chrome on WINDOWS (af3df697ca5bba7a46c26689e311f05c)] -> xpath: //select[@id='locations']]
2021-07-04 15:07:536 INFO  NewAndUsedCarPage :64 - Select Price from drop down: [[ChromeDriver: chrome on WINDOWS (af3df697ca5bba7a46c26689e311f05c)] -> xpath: //select[@id='priceTo']]
2021-07-04 15:07:893 INFO  NewAndUsedCarPage :69 - Click on find my car button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-04 15:07:284 INFO  NewAndUsedCarPage :38 - Verify that user navigate to new and Used car page :Proxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]'
2021-07-04 15:07:808 INFO  BasePage :30 - Launching Chrome Browser 
2021-07-04 15:07:482 INFO  HomePage :23 - Mouse Hover on text buy plus sell link :[[ChromeDriver: chrome on WINDOWS (14af7b355a69b029d7477561cca7f6ce)] -> xpath: //a[contains(text(),'buy + sell')]]
